STATE,XX,Population
Alabama,AL,3890061
Alaska,AK,400481
Arizona,AZ,2717866
Arkansas,AR,2285513
California,CA,23668562
Colorado,CO,2888834
Connecticut,CT,3107576
Delaware,DE,595225
Florida,FL,9739992
Georgia,GA,5464265
Hawaii,HI,965000
Idaho,ID,943935
Illinois,IL,11418461
Indiana,IN,5490179
Iowa,IA,2913387
Kansas,KS,2363208
Kentucky,KY,3661433
Louisiana,LA,4203972
Maine,ME,1124660
Maryland,MD,4216446
Massachusetts,MA,5737037
Michigan,MI,9258344
Minnesota,MN,4077148
Mississippi,MS,2520638
Missouri,MO,4917444
Montana,MT,786690
Nebraska,NE,1570006
Nevada,NV,799184
New Hampshire,NH,920610
New Jersey,NJ,7364158
New Mexico,NM,1299968
New York,NY,17557288
North Carolina,NC,5874429
North Dakota,ND,652695
Ohio,OH,10797419
Oklahoma,OK,3025266
Oregon,OR,2632663
Pennsylvania,PA,11866728
Rhode Island,RI,947154
South Carolina,SC,3119208
South Dakota,SD,690178
Tennessee,TN,4590750
Texas,TX,14228383
Utah,UT,1461037
Vermont,VT,511456
Virginia,VA,5346279
Washington,WA,4130163
West Virginia,WV,1949644
Wisconsin,WI,4705335
Wyoming,WY,470816