XX,n,v/t,s,SKEW,POWER,n',s',SKEW',POWER'
AL,7,0.407840,1,0.264983,637304.285714,8,2,0.157840,557641.250000
AK,1,0.306755,0,0.306755,628933.000000,1,0,0.306755,628933.000000
AZ,8,0.441491,3,0.066491,642585.375000,10,4,0.041491,514068.300000
AR,4,0.422055,1,0.172055,669933.250000,5,2,0.022055,535946.600000
CA,53,0.557295,34,0.084214,640203.735849,63,35,0.001739,538584.095238
CO,7,0.475331,3,0.046759,615983.142857,8,4,0.024669,538985.250000
CT,5,0.580962,5,0.419038,681907.000000,6,5,0.252371,568255.833333
DE,1,0.580440,1,0.419560,785068.000000,2,1,0.080440,392534.000000
FL,25,0.404719,6,0.164719,641155.600000,30,11,0.038052,534296.333333
GA,13,0.433566,5,0.048951,631305.769231,15,7,0.033101,547131.666667
HI,2,0.636832,2,0.363168,608321.000000,2,2,0.363168,608321.000000
ID,2,0.363942,0,0.363942,648637.000000,2,0,0.363942,648637.000000
IL,19,0.521730,8,0.100678,654686.421053,23,12,0.000009,540827.913043
IN,9,0.411263,3,0.077930,676753.555556,11,5,0.043282,553707.454545
IA,5,0.445446,3,0.154554,586384.600000,6,3,0.054554,488653.833333
KS,4,0.342401,0,0.342401,673456.000000,5,1,0.142401,538764.800000
KY,6,0.374860,2,0.041527,674905.166667,8,3,0.000140,506178.875000
LA,7,0.342610,1,0.199752,640038.714286,8,2,0.092610,560033.875000
ME,2,0.560236,2,0.439764,638865.500000,2,2,0.439764,638865.500000
MD,8,0.620848,6,0.129152,663485.750000,10,6,0.020848,530788.600000
MA,10,0.608259,10,0.391741,635556.800000,12,10,0.225075,529630.666667
MI,15,0.458455,6,0.058455,663721.933333,19,9,0.015230,523991.000000
MN,8,0.507929,4,0.007929,615708.750000,9,5,0.047626,547296.666667
MS,4,0.452934,1,0.202934,713231.750000,5,2,0.052934,570585.400000
MO,9,0.413485,3,0.080151,622917.777778,11,5,0.041061,509660.000000
MT,1,0.359058,0,0.359058,905316.000000,2,1,0.140942,452658.000000
NE,3,0.295427,0,0.295427,571789.666667,3,0,0.295427,571789.666667
NV,3,0.470724,1,0.137391,667344.000000,4,2,0.029276,500508.000000
NH,2,0.465529,0,0.465529,619207.500000,2,0,0.465529,619207.500000
NJ,13,0.492652,7,0.045810,648027.230769,16,8,0.007348,526522.125000
NM,3,0.515822,2,0.150844,607940.333333,3,2,0.150844,607940.333333
NY,29,0.613942,21,0.110196,655343.896552,36,22,0.002831,527915.916667
NC,13,0.455344,7,0.083117,620590.230769,15,7,0.011322,537844.866667
ND,1,0.450792,0,0.450792,643756.000000,1,0,0.450792,643756.000000
OH,18,0.439692,5,0.161914,631918.888889,21,8,0.058739,541644.761905
OK,5,0.344634,1,0.144634,691763.800000,6,2,0.011301,576469.833333
OR,5,0.527461,4,0.272539,685708.600000,6,4,0.139206,571423.833333
PA,19,0.472843,7,0.104422,647403.684211,23,11,0.005418,534811.739130
RI,2,0.593967,2,0.406033,524831.000000,2,2,0.406033,524831.000000
SC,6,0.416125,1,0.249458,670843.500000,8,3,0.041125,503132.625000
SD,1,0.488155,0,0.488155,756874.000000,2,1,0.011845,378437.000000
TN,9,0.361837,2,0.139615,633337.444444,11,4,0.001799,518185.181818
TX,32,0.366313,9,0.085063,653249.812500,39,14,0.007338,535999.846154
UT,3,0.358231,1,0.024897,745571.333333,4,1,0.108231,559178.500000
VT,1,0.668403,1,0.331597,609890.000000,1,1,0.331597,609890.000000
VA,11,0.447421,3,0.174694,645518.363636,13,5,0.062806,546207.846154
WA,9,0.512173,5,0.043383,656520.444444,11,6,0.033282,537153.090909
WV,3,0.445955,1,0.112621,604359.000000,3,1,0.112621,604359.000000
WI,8,0.446050,3,0.071050,671401.250000,10,4,0.046050,537121.000000
WY,1,0.257951,0,0.257951,495304.000000,1,0,0.257951,495304.000000
